Heard:  how to make people feel it (2 min),https://docs.google.com/document/d/1NiCEEUO2-38pIVGM7nrnpGRykbbtv2xuqLoKW50ZzLw/edit
Trust and Like (5 min),https://docs.google.com/document/d/1BQOa7foLLxNXmGUhbvkzsvm0IVYOJZTFU4MKOmreCXc/edit?usp=drive_web&ouid=102503928790226855337
Relationships:  How to get good at them (2 min),https://docs.google.com/document/d/11vIiU3-wRphxBLqEBJadAA20tuJhMxa87tFUC2YJs5o/edit
How to maintain personal connection in a remote world (3 min),https://docs.google.com/document/d/15bF88nIzZGJT9NTDXK6IR1ZzRCBqYMr8NK_No8nM0aI/edit
Relationships - How to create a good one between a Manager and her Reports (3 min; 60 min for the links),https://docs.google.com/document/d/166UMlHgOUnKb4rgLOjFl_etT8kaey2vEFVtwaCAfdDA/edit
Appreciation (1 min),https://docs.google.com/document/d/1id4TBGwDPuCvXiEW8RvJh-ajUuhrBnayoz9D1t1Gj3Y/edit?usp=drive_web&ouid=102503928790226855337
Praise (2 min),https://docs.google.com/document/d/1aXFhFbtIxmUdrUe9y341ghd-EJ89hJZ7g9tOKnw16FI/edit
"Trust, Deep (2 min)",https://docs.google.com/document/d/1IB7YDr_trYKavL_RdWTb8ddJt77eqDH_6H5BsK416FM/edit#
Fundraising- The Relationship Method (10 min),https://docs.google.com/document/d/163t4I3CzQ-CUScBYp6fCxpboSgHxCB7syd4Jtzw7nco/edit?usp=drive_web&ouid=102503928790226855337
Celebration (1 min),https://docs.google.com/document/d/19jIUk_cwu2xcAonFJLbd5JKp3q3_9oaC-twgLwFZKhE/edit#heading=h.pdvgdnsqrv2
Conflict Resolution (aka Relationship-Building) (10 min),https://docs.google.com/document/d/1NzF-otDuBWKC2GShJKcFsxCyabK1V3skQwCMU89tDmY/edit#
"Listening Tours, by Ian Tien (5 min)",https://medium.com/@it33/leadership-listening-tours-llts-for-remote-work-22b236ca2d16
